INSERT INTO products (Name, Description, Category, ImageUrl, Stock, Price) VALUES
('Żyłka monofilamentowa Mikado 0.18mm 300m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.18mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '124.jpg', 44, 46.54),
('Plecionka ośmiosplotowa Momoi 0.35mm 600m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.35mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '125.jpg', 35, 149.77),
('Plecionka ośmiosplotowa Berkley 0.18mm 250m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.18mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '126.jpg', 75, 41.65),
('Fluorocarbon Berkley 0.30mm 150m', 'Najwyższej klasy fluorocarbon o średnicy 0.30mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '127.jpg', 77, 86.87),
('Fluorocarbon Berkley 0.40mm 300m', 'Najwyższej klasy fluorocarbon o średnicy 0.40mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '128.jpg', 30, 217.20),
('Przypon karpiowy PowerPro 0.35mm 250m', 'Najwyższej klasy przypon karpiowy o średnicy 0.35mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '129.jpg', 24, 76.99),
('Żyłka monofilamentowa Momoi 0.40mm 300m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.40mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '130.jpg', 71, 142.14),
('Fluorocarbon PowerPro 0.35mm 250m', 'Najwyższej klasy fluorocarbon o średnicy 0.35mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '131.jpg', 63, 62.13),
('Fluorocarbon Momoi 0.30mm 250m', 'Najwyższej klasy fluorocarbon o średnicy 0.30mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '132.jpg', 56, 178.69),
('Żyłka monofilamentowa Sufix 0.22mm 300m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.22mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '133.jpg', 52, 21.05),
('Plecionka ośmiosplotowa Momoi 0.30mm 1000m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.30mm i nawoju 1000m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '134.jpg', 56, 213.72),
('Żyłka monofilamentowa Sufix 0.22mm 1000m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.22mm i nawoju 1000m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '135.jpg', 35, 102.39),
('Fluorocarbon PowerPro 0.26mm 600m', 'Najwyższej klasy fluorocarbon o średnicy 0.26mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '136.jpg', 63, 210.02),
('Żyłka monofilamentowa Momoi 0.26mm 600m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.26mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '137.jpg', 16, 170.83),
('Żyłka monofilamentowa Momoi 0.12mm 150m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.12mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '138.jpg', 29, 23.36),
('Plecionka ośmiosplotowa PowerPro 0.26mm 300m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.26mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '139.jpg', 61, 102.43),
('Przypon karpiowy PowerPro 0.18mm 250m', 'Najwyższej klasy przypon karpiowy o średnicy 0.18mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '140.jpg', 75, 41.13),
('Przypon karpiowy PowerPro 0.35mm 150m', 'Najwyższej klasy przypon karpiowy o średnicy 0.35mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '141.jpg', 23, 114.90),
('Plecionka ośmiosplotowa Sufix 0.26mm 300m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.26mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '142.jpg', 18, 174.55),
('Fluorocarbon PowerPro 0.12mm 600m', 'Najwyższej klasy fluorocarbon o średnicy 0.12mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '143.jpg', 68, 64.08),
('Plecionka ośmiosplotowa Daiwa 0.22mm 150m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.22mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '144.jpg', 53, 21.05),
('Plecionka ośmiosplotowa Sufix 0.22mm 150m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.22mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '145.jpg', 56, 126.96),
('Fluorocarbon PowerPro 0.35mm 150m', 'Najwyższej klasy fluorocarbon o średnicy 0.35mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '146.jpg', 16, 215.11),
('Przypon karpiowy Sufix 0.18mm 150m', 'Najwyższej klasy przypon karpiowy o średnicy 0.18mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '147.jpg', 32, 45.47),
('Fluorocarbon powerPro 0.22mm 150m', 'Najwyższej klasy fluorocarbon o średnicy 0.22mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '148.jpg', 44, 211.53),
('Żyłka monofilamentowa PowerPro 0.35mm 300m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.35mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '149.jpg', 60, 48.77),
('Przypon karpiowy powerPro 0.14mm 600m', 'Najwyższej klasy przypon karpiowy o średnicy 0.14mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '150.jpg', 58, 43.14),
('Żyłka monofilamentowa powerPro 0.40mm 300m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.40mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '151.jpg', 31, 107.03),
('Plecionka ośmiosplotowa PowerPro 0.22mm 250m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.22mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '152.jpg', 29, 214.28),
('Plecionka ośmiosplotowa Berkley 0.30mm 300m', 'Najwyższej klasy plecionka ośmiosplotowa o średnicy 0.30mm i nawoju 300m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '153.jpg', 58, 201.21),
('Fluorocarbon PowerPro 0.26mm 1000m', 'Najwyższej klasy fluorocarbon o średnicy 0.26mm i nawoju 1000m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '154.jpg', 53, 56.59),
('Fluorocarbon Sufix 0.22mm 600m', 'Najwyższej klasy fluorocarbon o średnicy 0.22mm i nawoju 600m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '155.jpg', 4, 30.15),
('Fluorocarbon powerPro 0.40mm 250m', 'Najwyższej klasy fluorocarbon o średnicy 0.40mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '156.jpg', 72, 70.08),
('Przypon karpiowy PowerPro 0.18mm 150m', 'Najwyższej klasy przypon karpiowy o średnicy 0.18mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '157.jpg', 32, 29.56),
('Żyłka monofilamentowa powerPro 0.12mm 150m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.12mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '158.jpg', 61, 79.18),
('Przypon karpiowy Mikado 0.12mm 250m', 'Najwyższej klasy przypon karpiowy o średnicy 0.12mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '159.jpg', 16, 52.88),
('Żyłka monofilamentowa Berkley 0.35mm 150m', 'Najwyższej klasy żyłka monofilamentowa o średnicy 0.35mm i nawoju 150m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '160.jpg', 23, 76.89),
('Skrzynka wędkarska Fox Pro-Series V1', 'Wysokiej jakości skrzynka wędkarska od Fox. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '161.jpg', 37, 269.17),
('Pokrowiec na wędki Plano Pro-Series V2', 'Wysokiej jakości pokrowiec na wędki od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '162.jpg', 35, 102.50),
('Sygnalizator brań Fox Pro-Series V3', 'Wysokiej jakości sygnalizator brań od Fox. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '163.jpg', 77, 335.54),
('Ciężarki wolframowe Nash Pro-Series V4', 'Wysokiej jakości ciężarki wolframowe od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '164.jpg', 29, 399.78),
('Haczyki teflonowe Mustad Pro-Series V5', 'Wysokiej jakości haczyki teflonowe od Mustad. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '165.jpg', 75, 415.65),
('Parasol wędkarski Mustad Pro-Series V6', 'Wysokiej jakości parasol wędkarski od Mustad. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '166.jpg', 77, 439.11),
('Podbierak wyczynowy Mikado Pro-Series V7', 'Wysokiej jakości podbierak wyczynowy od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '167.jpg', 78, 142.10),
('Haczyki teflonowe Kamatsu Pro-Series V8', 'Wysokiej jakości haczyki teflonowe od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '168.jpg', 4, 303.88),
('Krzesełko turystyczne Mustad Pro-Series V9', 'Wysokiej jakości krzesełko turystyczne od Mustad. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '169.jpg', 56, 128.90),
('Podbierak wyczynowy Nash Pro-Series V10', 'Wysokiej jakości podbierak wyczynowy od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '170.jpg', 16, 114.77),
('Skrzynka wędkarska Plano Pro-Series V11', 'Wysokiej jakości skrzynka wędkarska od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '171.jpg', 22, 192.11),
('Parasol wędkarski JRC Pro-Series V12', 'Wysokiej jakości parasol wędkarski od JRC. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '172.jpg', 42, 115.11),
('Krzesełko turystyczne JRC Pro-Series V13', 'Wysokiej jakości krzesełko turystyczne od JRC. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '173.jpg', 56, 356.12),
('Parasol wędkarski Mikado Pro-Series V14', 'Wysokiej jakości parasol wędkarski od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '174.jpg', 42, 458.75),
('Ciężarki wolframowe Nash Pro-Series V15', 'Wysokiej jakości ciężarki wolframowe od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '175.jpg', 63, 112.54),
('Skrzynka wędkarska Nash Pro-Series V16', 'Wysokiej jakości skrzynka wędkarska od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '176.jpg', 47, 439.11),
('Sygnalizator brań Plano Pro-Series V17', 'Wysokiej jakości sygnalizator brań od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '177.jpg', 33, 115.90),
('Ciężarki wolframowe Kamatsu Pro-Series V18', 'Wysokiej jakości ciężarki wolframowe od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '178.jpg', 35, 142.30),
('Pokrowiec na wędki Nash Pro-Series V19', 'Wysokiej jakości pokrowiec na wędki od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '179.jpg', 41, 105.11),
('Haczyki teflonowe Plano Pro-Series V20', 'Wysokiej jakości haczyki teflonowe od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '180.jpg', 40, 245.54),
('Haczyki teflonowe Nash Pro-Series V21', 'Wysokiej jakości haczyki teflonowe od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '181.jpg', 16, 215.11),
('Parasol wędkarski Fox Pro-Series V22', 'Wysokiej jakości parasol wędkarski od Fox. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '182.jpg', 13, 126.96),
('Krzesełko turystyczne Kamatsu Pro-Series V23', 'Wysokiej jakości krzesełko turystyczne od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '183.jpg', 75, 411.02),
('Sygnalizator brań Nash Pro-Series V24', 'Wysokiej jakości sygnalizator brań od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '184.jpg', 42, 102.39),
('Krzesełko turystyczne Mikado Pro-Series V25', 'Wysokiej jakości krzesełko turystyczne od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '185.jpg', 35, 126.65),
('Krzesełko turystyczne Kamatsu Pro-Series V26', 'Wysokiej jakości krzesełko turystyczne od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '186.jpg', 56, 449.26),
('Podbierak wyczynowy Plano Pro-Series V27', 'Wysokiej jakości podbierak wyczynowy od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '187.jpg', 37, 144.73),
('Pokrowiec na wędki JRC Pro-Series V28', 'Wysokiej jakości pokrowiec na wędki od JRC. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '188.jpg', 78, 417.01),
('Pokrowiec na wędki Mikado Pro-Series V29', 'Wysokiej jakości pokrowiec na wędki od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '189.jpg', 71, 173.85),
('Parasol wędkarski Plano Pro-Series V30', 'Wysokiej jakości parasol wędkarski od Plano. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '190.jpg', 72, 225.37),
('Haczyki teflonowe JRC Pro-Series V31', 'Wysokiej jakości haczyki teflonowe od JRC. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '191.jpg', 27, 279.82),
('Podbierak wyczynowy Nash Pro-Series V32', 'Wysokiej jakości podbierak wyczynowy od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '192.jpg', 55, 161.25),
('Parasol wędkarski Mikado Pro-Series V33', 'Wysokiej jakości parasol wędkarski od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '193.jpg', 51, 474.58),
('Pokrowiec na wędki Kamatsu Pro-Series V34', 'Wysokiej jakości pokrowiec na wędki od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '194.jpg', 22, 463.56),
('Krzesełko turystyczne Nash Pro-Series V35', 'Wysokiej jakości krzesełko turystyczne od Nash. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '195.jpg', 67, 419.08),
('Skrzynka wędkarska Kamatsu Pro-Series V36', 'Wysokiej jakości skrzynka wędkarska od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '196.jpg', 59, 258.38),
('Sygnalizator brań Mikado Pro-Series V37', 'Wysokiej jakości sygnalizator brań od Mikado. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '197.jpg', 4, 204.17),
('Skrzynka wędkarska Mustad Pro-Series V38', 'Wysokiej jakości skrzynka wędkarska od Mustad. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '198.jpg', 22, 231.99),
('Parasol wędkarski JRC Pro-Series V39', 'Wysokiej jakości parasol wędkarski od JRC. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '199.jpg', 46, 316.30),
('Parasol wędkarski Kamatsu Pro-Series V40', 'Wysokiej jakości parasol wędkarski od Kamatsu. Zaprojektowany z myślą o maksymalnej ergonomii i komforcie nad wodą.', 'Akcesoria', '200.jpg', 45, 458.56);
